,Train Accuracy,Val Accuracy,Train Loss,Val Loss
SGD,0.9632291793823242,0.9611666798591614,0.12971480190753937,0.13531072437763214
Momentum,0.9963958263397217,0.9755833148956299,0.0152446199208498,0.10058524459600449
RMSProp,0.9944166541099548,0.971666693687439,0.020902272313833237,0.16126099228858948
Adam,0.9933124780654907,0.9736666679382324,0.01971048302948475,0.12697790563106537
